Comment,Designator,Footprint,LCSC
"22u","C1,C2,C10,C11","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C45783"
"100n","C3,C4,C6,C7,C8,C9,C12","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C28233"
"100u","C5","Capacitor_Tantalum_SMD:CP_EIA-3528-12_Kemet-T_Pad1.50x2.35mm_HandSolder","C16133"
"LED1","D1","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C2297"
"LED2","D2","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C2296"
"5V","D3","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C2297"
"3V3","D4","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C2297"
"LED3","D5","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C84256"
"Barrel_Jack_Switch","J1","Connector_BarrelJack:BarrelJack_Horizontal","-"
"RELAY_PWR","J10","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal","-"
"POWER_IN","J2","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal","-"
"LEVEL","J3","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","-"
"RELAY","J4","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","-"
"MCU_PWR","J5","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","-"
"Conn_01x11","J6,J7","Connector_PinHeader_2.54mm:PinHeader_1x11_P2.54mm_Vertical","-"
"I2C","J8","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","-"
"I2C_OUT","J9","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","-"
"2k","R1,R2,R3,R4","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17604"
"330","R11","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17630"
"1k","R5,R6,R7,R8,R9,R10,R12,R13,R14,R15","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17513"
"LM317_TO-252","U1","Package_TO_SOT_SMD:TO-252-2","C75510"